,id,Nombre_Materia,Descripcion,Status,Horario,Fecha_Materia
19,158529cd42664e44bb0f6b942f38837a,Exploración y Comprensión del mundo natural y social,Quas qui exercitationem ipsam vitae tempore.,Inactivo,9:15-10:15,2022-07-15
20,d808e07bc7fd46199838b79cdd5ba5d8,Lenguaje y Comunicación,Nesciunt vel quo provident dolorum perspiciatis dolore velit.,Inactivo,8:15-9:15,2022-06-15
21,4487bb5488a2428885287a23b017130e,Exploración y Comprensión del mundo natural y social,Sunt cum dolores nesciunt.,Inactivo,9:15-10:15,2022-06-26
22,0b291b1f1cc842f489d2632af08386cf,Artes,Qui cupiditate occaecati assumenda minus similique esse.,Activo,11:00-12:00,2022-07-03
23,093ad7aec8c1463ab6f76a6674f28d4a,Educación SocioEmocional,Aliquam recusandae illo amet.,Inactivo,11:00-12:00,2022-07-02
24,30a7ecef97dd4324a50f7a2e89d68523,Educación Fisica,Sunt voluptate voluptatem quisquam quae mollitia.,Activo,9:15-10:15,2022-07-14
25,ae4daa3b8c8846b6b02c7fc0ff30e0e0,Exploración y Comprensión del mundo natural y social,Sint aspernatur expedita totam.,Inactivo,7:15-8:15,2022-06-14
26,75fe08d7bff5454681eb3d347a3bcc37,Artes,Debitis dolorum alias quas sunt nulla quo commodi.,Inactivo,8:15-9:15,2022-08-15
27,72f51938767246a597de3f517354dac2,Artes,Voluptatum consequuntur repellat numquam aliquam asperiores labore.,Activo,8:15-9:15,2022-07-31
28,58d7d629c559435caaedd843e625d7b7,Educación SocioEmocional,Ullam mollitia distinctio fuga facere quisquam.,Inactivo,8:15-9:15,2022-08-10
29,41bbd64d67bf42b4b3f0e969c4489860,Pensamiento Matemáico,Tempora magnam quibusdam blanditiis nesciunt unde magni quas.,Inactivo,7:15-8:15,2022-06-04
30,2d6a45b8ede949b1b97497809c243879,Artes,Quos nulla exercitationem dolorum.,Inactivo,7:15-8:15,2022-07-31
31,20e14a58ce1c47d79509a9e97232f446,Pensamiento Matemáico,Ipsam magni laudantium architecto recusandae ipsam reprehenderit illo.,Inactivo,9:15-10:15,2022-07-11
32,390c832469e24090a2abc5110a2c6751,Lenguaje y Comunicación,Libero ab repudiandae.,Inactivo,8:15-9:15,2022-08-19
33,403061d15739422b863d366bbcf3dde7,Lenguaje y Comunicación,Quidem beatae quod repellendus.,Activo,8:15-9:15,2022-06-11
34,b3defa33d2ea4deb9a6cc6f8a6c447e4,Artes,Voluptas accusantium cupiditate nemo nesciunt.,Inactivo,11:00-12:00,2022-06-06
35,1576be530d1c4c5a822d6ec6429a6e1f,Artes,Voluptatibus officia facilis repellat quidem.,Inactivo,11:00-12:00,2022-06-20
36,66f665a5206c4b9191f8cbec77d28135,Educación Fisica,Ab dolorem sunt corrupti ducimus eius qui quidem.,Activo,7:15-8:15,2022-07-25
37,6af27228a0da4a25bd0a589b0b1d85ca,Artes,Numquam nam magnam officiis.,Inactivo,9:15-10:15,2022-08-04
38,2d25b4452a9e4ff2ae513dc7853bda59,Exploración y Comprensión del mundo natural y social,Maiores rem occaecati at aut.,Inactivo,9:15-10:15,2022-07-10
39,740f5dc9085740de9e5ae1c14c78a99f,Educación Fisica,Est accusantium distinctio dolorum.,Activo,11:00-12:00,2022-07-08
40,0452b8f65d7d4c27a55a82859643ebb4,Artes,Consequatur impedit cupiditate animi voluptatum.,Inactivo,8:15-9:15,2022-07-20
41,a7b0d89d354f4bb5926ec621d8313d4b,Exploración y Comprensión del mundo natural y social,Aspernatur quaerat porro quod iste impedit.,Inactivo,11:00-12:00,2022-07-03
42,1cb4a547c30547fbb951bdc6d75f5140,Exploración y Comprensión del mundo natural y social,Consequuntur voluptatibus commodi tempore.,Activo,11:00-12:00,2022-06-26
43,7941f0ba993944e7bb848f75058d4eb9,Lenguaje y Comunicación,Accusamus fugiat ipsa consectetur placeat distinctio sed.,Activo,7:15-8:15,2022-07-25
44,cf70d37131384e3abed9cba3753ae1d7,Lenguaje y Comunicación,Maxime explicabo consequatur beatae id.,Activo,7:15-8:15,2022-07-15
45,a52b5fd548fa4f119f9864348d3a15b2,Lenguaje y Comunicación,Corporis magni amet esse.,Activo,9:15-10:15,2022-08-09
46,e5ab1099a96f4492a13c7ea3978f37fc,Pensamiento Matemáico,Maxime neque ratione eligendi quibusdam perferendis.,Activo,9:15-10:15,2022-06-12
47,63da1dd6da3046019962f3c4b97197c8,Exploración y Comprensión del mundo natural y social,Repellendus aliquid cum voluptatibus.,Inactivo,11:00-12:00,2022-06-12
48,45d4ed33750e4bed9688a031119fffd4,Pensamiento Matemáico,Voluptas sapiente expedita distinctio.,Inactivo,9:15-10:15,2022-08-09
49,c09e87f525434c0fb2bcf81f468da548,Educación Fisica,Dicta vero soluta eaque.,Inactivo,11:00-12:00,2022-07-07
50,b8005b9bf5154eea816783e448106d72,Lenguaje y Comunicación,Distinctio velit temporibus corrupti explicabo animi quia.,Inactivo,7:15-8:15,2022-06-06
51,c211fed27294448b963b308c7a6d8796,Lenguaje y Comunicación,Architecto quos totam doloribus culpa dolores debitis fuga.,Inactivo,7:15-8:15,2022-06-19
52,b0c39f9f8f5442549b7629481ee0901a,Educación Fisica,Minima exercitationem voluptates aperiam beatae exercitationem.,Activo,11:00-12:00,2022-08-07
53,c86f4b1a125b4b61a228c6d5e30ece89,Educación Fisica,Vitae dolorum perferendis.,Activo,8:15-9:15,2022-07-02
54,64fee9b3b49941afa0d9bf5a4eaaa7dc,Lenguaje y Comunicación,Nemo dolore quo laborum aperiam facere assumenda.,Inactivo,8:15-9:15,2022-07-31
55,69ab4188d78442dba7c8efd9842de015,Educación Fisica,Occaecati error dolore assumenda officiis nihil quibusdam assumenda.,Inactivo,7:15-8:15,2022-08-09
56,22366a78aea6424d88288111e94c9d8c,Exploración y Comprensión del mundo natural y social,Repudiandae consequuntur reprehenderit excepturi fuga fugit magni.,Inactivo,7:15-8:15,2022-08-03
57,7e4b10985d8746ada5dd1e29fc35d672,Pensamiento Matemáico,At ullam laborum soluta.,Activo,11:00-12:00,2022-06-01
58,dba3a4b4b6d94ab29e304a8464ecfa5b,Educación Fisica,Voluptatum nulla molestiae.,Activo,9:15-10:15,2022-08-13
59,4f49f9bb7e184f21a4e6036da12fd7b2,Educación SocioEmocional,Atque non perferendis quos magni nam consectetur.,Inactivo,11:00-12:00,2022-07-16
60,fc45e815268b40ec806270598e5c2e0f,Educación Fisica,Soluta est dolore pariatur.,Activo,7:15-8:15,2022-07-23
61,2894311dc5f24702a7cc5c6599f30a1b,Artes,Earum quod possimus saepe.,Activo,8:15-9:15,2022-06-16
62,4b1037a128144c9c86a4fdfebe40e6e1,Exploración y Comprensión del mundo natural y social,Accusamus expedita expedita.,Activo,8:15-9:15,2022-07-14
63,798cac5798d94ae69379fc646033efde,Lenguaje y Comunicación,Omnis possimus quas in laboriosam sapiente debitis.,Inactivo,7:15-8:15,2022-07-14
64,853c35b99fd34a43acb7db54013f3165,Educación SocioEmocional,Fuga ducimus aspernatur vero vero excepturi nihil eligendi.,Inactivo,9:15-10:15,2022-06-08
65,e93b62acb987453a82d4c2af3e4a3121,Educación SocioEmocional,Aperiam repellendus a rem.,Activo,8:15-9:15,2022-07-24
66,b28d7760faf445b5a8901e0da5b0194e,Educación Fisica,Voluptatum assumenda molestiae iusto aut excepturi.,Inactivo,9:15-10:15,2022-07-29
67,275dc55a6d7949feb58a20a5d4e51107,Educación Fisica,A pariatur at.,Activo,9:15-10:15,2022-06-27
68,ba03f0346ee44b249f652865886b5a9a,Educación Fisica,Fugiat saepe error aliquid error.,Activo,11:00-12:00,2022-06-28
69,ef9bd4227bfe4ea2b28372e18b7a10ad,Exploración y Comprensión del mundo natural y social,Voluptatibus minus blanditiis saepe.,Inactivo,7:15-8:15,2022-07-27
70,8dd84b4d06a6467cb36d7dff93c96dfa,Lenguaje y Comunicación,Debitis pariatur ab facilis voluptatibus quaerat.,Activo,9:15-10:15,2022-08-07
71,2275026b21ea4f30aeee877cad2fbf15,Exploración y Comprensión del mundo natural y social,Odit qui sint cum neque.,Activo,8:15-9:15,2022-07-18
72,01deef9693b24a94abda9fa5abe97760,Artes,Quo dolor non molestias ex eligendi laudantium.,Activo,8:15-9:15,2022-07-29
73,97c932afba5642c8b8ac5af7bb570b27,Pensamiento Matemáico,Facere quia animi at aut.,Inactivo,8:15-9:15,2022-08-13
74,05b69a862a1f45c9a70351df03333321,Educación SocioEmocional,Temporibus consequuntur nihil temporibus facere vero alias.,Activo,8:15-9:15,2022-08-04
75,0b68b57db9594042b98ffa78d08deb37,Exploración y Comprensión del mundo natural y social,Magni maiores culpa maiores aspernatur nesciunt.,Activo,8:15-9:15,2022-07-27
76,79306844074d4c329ccc4022a274114d,Educación SocioEmocional,Voluptatem soluta blanditiis itaque error.,Inactivo,8:15-9:15,2022-06-04
77,af7ad0e1ba8a4a45a5adf684d1b9f405,Pensamiento Matemáico,Minima error libero ipsa at.,Activo,8:15-9:15,2022-07-07
78,629b069365f5485ea2d2b2025e9081ea,Exploración y Comprensión del mundo natural y social,Quibusdam sapiente delectus eius.,Inactivo,8:15-9:15,2022-06-15
79,340a5aee79ca4f50856ea1da72c98b4f,Exploración y Comprensión del mundo natural y social,Ex et mollitia aut impedit consequatur occaecati molestiae.,Activo,11:00-12:00,2022-08-11
80,69171bd2b47f4494a26ff5c38ee44287,Educación Fisica,Inventore explicabo esse dolore corrupti.,Inactivo,8:15-9:15,2022-06-29
81,323b71d1b3f043d2908a32e6b9ba19ce,Exploración y Comprensión del mundo natural y social,Perspiciatis soluta animi eos amet vitae veritatis.,Inactivo,7:15-8:15,2022-06-29
82,1958e6b3fd8749bc92cfc285b6022f52,Pensamiento Matemáico,Consequuntur repellat hic suscipit cum quibusdam nam earum.,Inactivo,9:15-10:15,2022-07-03
83,b1c5d86a97374b13a72259093d3100c4,Exploración y Comprensión del mundo natural y social,Sed rem quod quasi repudiandae molestiae.,Activo,8:15-9:15,2022-07-06
84,8fc421b9b1a945b1aa0ff4e5099ddc6d,Artes,Provident sunt et distinctio maiores ab cumque.,Activo,7:15-8:15,2022-07-23
85,eabc10d9ba06427a9ad3c7befbd599df,Artes,Eveniet ipsam adipisci nemo blanditiis occaecati quam similique.,Activo,8:15-9:15,2022-06-12
86,194b83318dcb47af8d05583c23bd1f0f,Pensamiento Matemáico,Dolor quaerat sit fugiat reprehenderit culpa.,Activo,8:15-9:15,2022-08-02
87,476bb3314f4c40069729c63f27a6c1c6,Exploración y Comprensión del mundo natural y social,In mollitia modi rerum in.,Activo,7:15-8:15,2022-07-10
88,9d3f09fe1f424fec92da66e7520e547c,Exploración y Comprensión del mundo natural y social,Fuga tempore ad facilis possimus numquam.,Inactivo,9:15-10:15,2022-08-09
89,a6f8795034874e07aa64de48c23becc4,Educación Fisica,Dolores odit perspiciatis velit.,Inactivo,9:15-10:15,2022-06-21
90,021cc9e5b7b24e4c81e196140c52aae6,Pensamiento Matemáico,Incidunt similique tempore.,Inactivo,11:00-12:00,2022-07-01
91,5e3a796f33574f98a7316103d6495b87,Exploración y Comprensión del mundo natural y social,Corrupti nobis dolore perspiciatis magni nisi.,Activo,7:15-8:15,2022-06-03
92,d19bb8e5709f45f5b733fd5e99956176,Lenguaje y Comunicación,Iure cupiditate iusto.,Inactivo,7:15-8:15,2022-08-17
93,4b6961b03be44bde853d8ba2be30595f,Lenguaje y Comunicación,Ad esse corrupti tenetur quos officia excepturi.,Activo,11:00-12:00,2022-08-07
94,a6029829176f4740b19e1e69607efc99,Pensamiento Matemáico,Suscipit beatae dolore reprehenderit.,Inactivo,11:00-12:00,2022-08-01
95,878b8960f80442ab95eb061a41110a89,Exploración y Comprensión del mundo natural y social,Amet eveniet cupiditate nesciunt sint voluptas.,Inactivo,9:15-10:15,2022-07-16
96,10fbd1f879c34325956b73de34172003,Artes,Ipsum rem suscipit minima vitae odio ducimus.,Activo,8:15-9:15,2022-08-10
97,33c03d70a415466eb73bf21ada55909f,Exploración y Comprensión del mundo natural y social,Nemo ratione in explicabo.,Activo,9:15-10:15,2022-08-08
98,741caf23d06b40bda309f059d16fe4d2,Lenguaje y Comunicación,Nostrum asperiores molestiae ab aliquam fuga corporis esse.,Inactivo,8:15-9:15,2022-06-21
99,dd45fb3893c042c988115906cf9928c3,Educación Fisica,Quo dolor et quam reprehenderit quisquam voluptatibus.,Activo,9:15-10:15,2022-06-05
100,def5653668b94f0ba119ac44fdf1d2ac,Pensamiento Matemáico,Vero velit sapiente quae accusamus distinctio.,Activo,8:15-9:15,2022-07-29
101,8a1f3db4c0794d7392d4e8bd679acc31,Pensamiento Matemáico,Quos doloremque veniam voluptates cupiditate officia.,Activo,8:15-9:15,2022-06-30
102,56ba9238630642d5a40e6a434cae79b3,Lenguaje y Comunicación,Blanditiis ut voluptates distinctio.,Activo,7:15-8:15,2022-06-29
103,ba5d9ea5ab204103a77c8258cf4ad450,Exploración y Comprensión del mundo natural y social,Quo cum maxime delectus inventore enim nobis.,Activo,11:00-12:00,2022-06-29
104,b8d99070c989412486afb56d9dcb37ec,Pensamiento Matemáico,Dolorem similique voluptatem recusandae sint deleniti.,Inactivo,7:15-8:15,2022-07-30
105,46fb505abc44433fb6f3cedfc1b51d5a,Educación Fisica,Eum amet libero.,Activo,11:00-12:00,2022-06-09
106,061e6ca717dc470e96acdb9d1f73d01e,Educación Fisica,Omnis aperiam quae animi.,Inactivo,11:00-12:00,2022-08-08
107,1db32d6e52cb43d9a5b48568b75dd0c4,Lenguaje y Comunicación,Accusamus porro cumque officia repudiandae.,Activo,9:15-10:15,2022-07-18
108,3dec29635333459f9c89fac8d1a7d05c,Educación Fisica,Fugiat error accusantium.,Activo,8:15-9:15,2022-07-20
109,699ac47019bd45388654c055d3519960,Pensamiento Matemáico,Distinctio distinctio autem nesciunt laboriosam facilis suscipit.,Inactivo,11:00-12:00,2022-06-23
110,f4b5c19699534274be117a1fa72a52df,Educación Fisica,Accusamus modi quis excepturi doloribus rerum.,Activo,9:15-10:15,2022-06-09
111,5becb6c833784241ad4a60c4a368e4db,Artes,Magni dolores explicabo dicta.,Inactivo,7:15-8:15,2022-07-15
112,7b0c2ccefaec4c02a111ac5131775024,Educación SocioEmocional,Quaerat consequatur blanditiis blanditiis natus repellendus dicta.,Inactivo,8:15-9:15,2022-06-17
113,2132a3c110b84ae49be757cdf9041b18,Pensamiento Matemáico,Ratione incidunt a dolorem.,Activo,11:00-12:00,2022-08-19
114,36d9a5e84db84813b131dc4c8784da51,Pensamiento Matemáico,Laborum quam dolore magnam magni cumque quasi.,Activo,11:00-12:00,2022-06-18
115,00dc51f70043426894cc6dfe7c922a88,Educación Fisica,Quis voluptate commodi eum.,Inactivo,7:15-8:15,2022-07-23
116,6092ccd6dbc1432a8f47c34754c8e204,Educación SocioEmocional,Facilis beatae deserunt quisquam.,Activo,8:15-9:15,2022-07-25
117,a1e58ec0c46f478fa04f4cbcd99eda54,Lenguaje y Comunicación,Id iusto placeat animi.,Activo,9:15-10:15,2022-06-04
118,4a158595ac5e4d28a00ab7f82e37069c,Artes,Corrupti voluptate placeat possimus.,Inactivo,11:00-12:00,2022-07-11
119,9cf5d016044a408a9cf4636bd14300d4,Lenguaje y Comunicación,Molestiae ipsa omnis quasi mollitia magni eligendi.,Inactivo,7:15-8:15,2022-06-22
120,14df3cc642d3437f9e65bd9ddfbed5d4,Lenguaje y Comunicación,Odit velit consequuntur ipsum nemo voluptatum quod.,Activo,11:00-12:00,2022-08-10
121,0bff9fde166f4028baadd58e00c39fa9,Pensamiento Matemáico,Praesentium incidunt officia quae.,Activo,11:00-12:00,2022-07-02
122,9d315d5debf14bfbacab3bf9431a676a,Pensamiento Matemáico,Eos ab consequatur aspernatur cum maxime magnam deserunt.,Inactivo,9:15-10:15,2022-07-19
123,f2cdb4e0332d47b8b59972cac34d863a,Pensamiento Matemáico,Odio facilis ipsa mollitia alias earum ea.,Inactivo,11:00-12:00,2022-07-31
124,8e493e37ad6b4590a1d36ac6df9b4bdb,Artes,Maxime in omnis.,Inactivo,7:15-8:15,2022-06-25
125,8720f855ba9e4be4bc8fc630f5f8b705,Pensamiento Matemáico,Dicta beatae exercitationem optio molestias.,Inactivo,9:15-10:15,2022-08-05
126,f406d42cd0334fb7bb33843aeca01999,Exploración y Comprensión del mundo natural y social,Iure itaque inventore rem nam odit.,Inactivo,9:15-10:15,2022-07-17
127,7a1f158b57c24f98863c381bb721c371,Exploración y Comprensión del mundo natural y social,Quia veniam nemo dolorum ab reiciendis.,Inactivo,11:00-12:00,2022-07-29
128,39f68fb774954487999b2da46e842ce9,Educación SocioEmocional,Omnis porro natus beatae deleniti totam officiis.,Activo,8:15-9:15,2022-06-11
129,215981bae73740cba37c392bd0966a9d,Lenguaje y Comunicación,Consequatur non tempora modi.,Activo,7:15-8:15,2022-07-30
130,7ac5df46c9e74ae794a199025e1f5fce,Lenguaje y Comunicación,Distinctio dignissimos rerum quo dolores aliquid dolore.,Activo,9:15-10:15,2022-06-18
131,72ddf36429d8480d97ac443b1a78f467,Artes,Quisquam dignissimos id voluptas accusantium similique.,Inactivo,11:00-12:00,2022-07-05
132,7e7640da55c5462ebd872bfe172712cf,Lenguaje y Comunicación,Libero ea enim iure asperiores consequuntur.,Inactivo,8:15-9:15,2022-07-30
133,13f73b1b899140b9903e0e3bfd6a21e9,Lenguaje y Comunicación,Pariatur explicabo quisquam voluptate similique esse animi.,Activo,9:15-10:15,2022-07-03
134,915a1aab294b450e906aa1888db79d86,Educación Fisica,Provident nam magnam similique culpa.,Inactivo,9:15-10:15,2022-07-28
135,d4fb2bfb24d943fc86b3a239c8181b1d,Pensamiento Matemáico,Veritatis ab aperiam nulla similique perspiciatis accusamus.,Activo,9:15-10:15,2022-06-17
136,5ce967fce53948f19b34ed674a3b025c,Artes,Ex voluptatum doloribus voluptas.,Activo,8:15-9:15,2022-07-29
137,3e342023f3b3453f879b63f98ec59481,Lenguaje y Comunicación,Aut sit aspernatur sint cupiditate magnam debitis asperiores.,Inactivo,11:00-12:00,2022-07-21
138,cdf606b316664b568de4bed577f1cd44,Exploración y Comprensión del mundo natural y social,Natus magni qui ducimus eius architecto.,Activo,7:15-8:15,2022-08-08
139,3eba4003f84b47d9a2820f95fa06a8d7,Artes,Deserunt deleniti reiciendis in asperiores dolorem corporis.,Activo,8:15-9:15,2022-08-09
140,9f07f8f4498c4a09b1384bd9fee390fc,Pensamiento Matemáico,Magni iste veritatis nulla iusto natus.,Inactivo,11:00-12:00,2022-06-23
141,f5c5cc3cf2fb4bfe942927b323a255a5,Pensamiento Matemáico,Illum adipisci explicabo mollitia.,Activo,9:15-10:15,2022-06-08
142,a62a1531e9f64e229389ce5224511efb,Educación Fisica,Maiores provident suscipit repellendus dolor.,Inactivo,8:15-9:15,2022-08-04
143,a014489df769441682fba7f6ffe76217,Educación SocioEmocional,Atque assumenda optio est impedit.,Activo,9:15-10:15,2022-08-18
144,eca38d7fc5af49638dda33e9c86f5b15,Pensamiento Matemáico,Quam itaque fuga.,Inactivo,9:15-10:15,2022-06-18
145,899996a0a0e848828287b1d3ee85b297,Exploración y Comprensión del mundo natural y social,Libero ducimus inventore sequi.,Activo,11:00-12:00,2022-06-21
146,7370eb74ac4642f280d9b53290d6eab6,Educación Fisica,Harum dolor ducimus dolorum sed.,Activo,7:15-8:15,2022-08-01
147,68ad6916f00e40809e178b31d30ce444,Lenguaje y Comunicación,Atque fugiat natus alias repudiandae aperiam.,Activo,11:00-12:00,2022-08-03
148,2302a3eb835843878dec883eb8d9eeea,Educación SocioEmocional,Magnam quibusdam aperiam cum.,Inactivo,9:15-10:15,2022-06-08
149,c2e5a942ffa242c19a1e96fe77176367,Lenguaje y Comunicación,Voluptatibus libero ad impedit.,Activo,9:15-10:15,2022-07-31
150,1a530cdd77a14b8bbb608a7ba43dc822,Educación Fisica,Iusto eos mollitia incidunt facilis.,Activo,9:15-10:15,2022-07-12
151,9bdc46651f3446fa82423fe5aa83636d,Educación Fisica,Cumque quas veniam ratione esse.,Activo,9:15-10:15,2022-07-23
152,9abcc0d3f49b4b10a618f9f901875fa8,Lenguaje y Comunicación,Unde libero harum eum neque ab.,Inactivo,8:15-9:15,2022-06-23
153,e0e94dd11c9d4be6ae830074be8b24e5,Pensamiento Matemáico,Vel ex aperiam porro.,Activo,9:15-10:15,2022-08-11
154,2eec5397c5714c1e89cca71fee617b12,Educación SocioEmocional,Dolorem nemo ut nostrum ab eius nihil soluta.,Activo,8:15-9:15,2022-08-13
155,34386ddd26f54d739a22a872c522b6b0,Educación SocioEmocional,Dolorem blanditiis fugit officiis ipsa quis.,Inactivo,9:15-10:15,2022-06-18
156,5c9fe44532834f99b3d0cb72eced6ab2,Exploración y Comprensión del mundo natural y social,Molestiae sit reprehenderit possimus.,Inactivo,7:15-8:15,2022-07-13
157,72b02bfee8f94a76b48a454dacf8e8b3,Educación Fisica,Omnis eum expedita eligendi voluptatem architecto reiciendis.,Inactivo,11:00-12:00,2022-06-15
158,d1870e62cd4e4f8c927398255d83002f,Exploración y Comprensión del mundo natural y social,Necessitatibus impedit reprehenderit blanditiis impedit cumque tempore.,Inactivo,11:00-12:00,2022-08-07
159,8f499470d7b44564843a4f74d3bb61f7,Exploración y Comprensión del mundo natural y social,Amet maiores sunt quae ratione dolorum tempore sequi.,Inactivo,9:15-10:15,2022-07-12
160,7e07bb7d687d4a67b1fd8a23bf06ce20,Exploración y Comprensión del mundo natural y social,Occaecati quos nam expedita aliquid ipsam nobis.,Inactivo,7:15-8:15,2022-06-29
161,31d4451c8c4d44939eb9edd87c7edd71,Educación SocioEmocional,Dicta omnis autem sunt.,Inactivo,9:15-10:15,2022-07-18
162,e781ab7dc40d4cc490fd06e4aec5f908,Exploración y Comprensión del mundo natural y social,Adipisci modi recusandae.,Activo,9:15-10:15,2022-06-21
163,744e6525e60e4593b7445ac69d8c65be,Educación SocioEmocional,Maxime accusamus dolorem.,Inactivo,7:15-8:15,2022-07-28
164,7c48273bcdbd4f7193ccdedad73cff29,Artes,Provident facere neque vel pariatur.,Inactivo,11:00-12:00,2022-06-02
165,6b20774bf7c4481b890b1e13b0e88d29,Artes,Dicta cumque aliquam saepe.,Activo,7:15-8:15,2022-07-31
166,d48f3fbff09d418080b20c9ee9bdbeb9,Pensamiento Matemáico,Commodi aliquid autem officia repudiandae cupiditate at.,Inactivo,8:15-9:15,2022-06-19
167,117e8bd000d74709b978d4d1b7600f85,Lenguaje y Comunicación,Voluptatibus deleniti inventore rem ratione corporis sed.,Inactivo,11:00-12:00,2022-08-02
168,2fbf8148036345dc86363e9b55fba4bb,Artes,Labore magnam nam impedit.,Activo,7:15-8:15,2022-06-29
169,d5a20bd397be42e58063d7de95cabd5d,Pensamiento Matemáico,Distinctio commodi maiores ex.,Inactivo,11:00-12:00,2022-06-10
170,72e2fcf900534b15bb9ca8ff739f40f7,Educación SocioEmocional,Perferendis dolorum excepturi rem.,Inactivo,11:00-12:00,2022-06-13
171,0781d70f40aa448d804665f1585bdf26,Artes,Repellat explicabo in fugiat facilis.,Inactivo,11:00-12:00,2022-07-31
172,41fd0bf55289458eb70fce79979d158a,Educación SocioEmocional,Distinctio incidunt laborum nobis aliquid.,Activo,11:00-12:00,2022-06-28
173,0621fc8c95264dc7b0843df1dfcf2bd8,Lenguaje y Comunicación,Perspiciatis quibusdam id rem amet praesentium quo.,Activo,7:15-8:15,2022-06-23
174,3dac1c78f32d4310b7a3bb0ed181a9a4,Educación Fisica,Quidem ex ad pariatur expedita sit.,Activo,11:00-12:00,2022-06-19
175,367753f03000492d99b9ae6e21663077,Pensamiento Matemáico,Hic impedit quod minima rerum quam voluptates.,Activo,11:00-12:00,2022-08-13
176,6fa21a2e88234a1d81059ffac2c87bbc,Educación SocioEmocional,Aliquam soluta excepturi doloribus.,Activo,8:15-9:15,2022-07-11
177,a036140a2b974686842043e5136ba54b,Educación SocioEmocional,Quaerat quod minima amet nam impedit.,Activo,11:00-12:00,2022-06-02
178,9f6f6d73681944fb8179de9c74ebe201,Educación Fisica,Voluptatem nostrum corporis.,Activo,7:15-8:15,2022-08-18
179,d7ecbd44555d4df3b761b739ee093774,Lenguaje y Comunicación,Suscipit in voluptatem ipsam fugit repellat.,Inactivo,8:15-9:15,2022-06-10
180,b82dc0b70d2a416ca7946d8bb0ca206c,Educación Fisica,Facere commodi soluta hic magni rerum.,Inactivo,11:00-12:00,2022-07-18
181,fc99256a93d241c5872b131c046b4718,Artes,Libero in est totam.,Inactivo,11:00-12:00,2022-06-21
182,cfaca6f216a34d71ab129db4643426f0,Pensamiento Matemáico,Nam enim beatae odio fugiat architecto provident.,Inactivo,7:15-8:15,2022-07-08
183,b3d7c1953f874e939290fa3628a58a38,Lenguaje y Comunicación,Iure quos dolore blanditiis nihil dicta recusandae dolores.,Inactivo,8:15-9:15,2022-07-04
